7140 <= x 7170; y_239 = -3989.2 + 0.5667x; interpolation 
7170 <= x 7200; y_240 = 791.0 + -0.1x; interpolation 
7200 <= x 7230; y_241 = 551.2 + -0.0667x; interpolation 
7230 <= x 7260; y_242 = -894.8 + 0.1333x; interpolation 
7260 <= x 7290; y_243 = 4429.0 + -0.6x; interpolation 
7290 <= x 7320; y_244 = -1403.0 + 0.2x; interpolation 
7320 <= x 7350; y_245 = 1525.0 + -0.2x; interpolation 
7350 <= x 7380; y_246 = -435.2 + 0.0667x; interpolation 
7380 <= x 7410; y_247 = -3140.8 + 0.4333x; interpolation 
7410 <= x 7440; y_248 = 3775.0 + -0.5x; interpolation 
7440 <= x 7470; y_249 = -4409.0 + 0.6x; interpolation 
7470 <= x 7500; y_250 = 820.0 + -0.1x; interpolation 
7500 <= x 7530; y_251 = 70.0 + 0.0x; interpolation 
7530 <= x 7560; y_252 = 70.0 + 0.0x; interpolation 
7560 <= x 7590; y_253 = 3850.0 + -0.5x; interpolation 
7590 <= x 7620; y_254 = -197.7 + 0.0333x; interpolation 
7620 <= x 7650; y_255 = -4262.3 + 0.5667x; interpolation 
7650 <= x 7680; y_256 = 583.3 + -0.0667x; interpolation 
7680 <= x 7710; y_257 = 71.0 + 0.0x; interpolation 
7710 <= x 7740; y_258 = -443.29999999999995 + 0.0667x; interpolation 
7740 <= x 7770; y_259 = 4974.7 + -0.6333x; interpolation 
7770 <= x 7800; y_260 = -464.29999999999995 + 0.0667x; interpolation 
7800 <= x 7830; y_261 = -4103.7 + 0.5333x; interpolation 
7830 <= x 7860; y_262 = 3987.0 + -0.5x; interpolation 
7860 <= x 7890; y_263 = -4397.3 + 0.5667x; interpolation 
7890 <= x 7920; y_264 = 74.0 + 0.0x; interpolation 
7920 <= x 7950; y_265 = 866.0 + -0.1x; interpolation 
7950 <= x 7980; y_266 = 71.0 + 0.0x; interpolation 
7980 <= x 8010; y_267 = 4326.7 + -0.5333x; interpolation 
8010 <= x 8040; y_268 = -3950.0 + 0.5x; interpolation 
8040 <= x 8070; y_269 = 4626.3 + -0.5667x; interpolation 
8070 <= x 8100; y_270 = -5057.7 + 0.6333x; interpolation 
