0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
6270 <= x 6300; y_210 = 4675.8 + -0.7333x; interpolation 
6300 <= x 6330; y_211 = -2464.0 + 0.4x; interpolation 
6330 <= x 6360; y_212 = 1123.2 + -0.1667x; interpolation 
6360 <= x 6390; y_213 = -1209.0 + 0.2x; interpolation 
6390 <= x 6420; y_214 = -2487.0 + 0.4x; interpolation 
6420 <= x 6450; y_215 = 2649.0 + -0.4x; interpolation 
6450 <= x 6480; y_216 = -2725.8 + 0.4333x; interpolation 
6480 <= x 6510; y_217 = 730.0 + -0.1x; interpolation 
6510 <= x 6540; y_218 = 2899.8 + -0.4333x; interpolation 
6540 <= x 6570; y_219 = -151.8 + 0.0333x; interpolation 
6570 <= x 6600; y_220 = 285.8 + -0.0333x; interpolation 
6600 <= x 6630; y_221 = -374.2 + 0.0667x; interpolation 
6630 <= x 6660; y_222 = -2141.8 + 0.3333x; interpolation 
6660 <= x 6690; y_223 = -143.8 + 0.0333x; interpolation 
6690 <= x 6720; y_224 = 3424.0 + -0.5x; interpolation 
6720 <= x 6750; y_225 = -1280.0 + 0.2x; interpolation 
6750 <= x 6780; y_226 = -2179.8 + 0.3333x; interpolation 
6780 <= x 6810; y_227 = 1436.0 + -0.2x; interpolation 
6810 <= x 6840; y_228 = -2195.8 + 0.3333x; interpolation 
6840 <= x 6870; y_229 = 2592.2 + -0.3667x; interpolation 
6870 <= x 6900; y_230 = -1759.2 + 0.2667x; interpolation 
6900 <= x 6930; y_231 = 3760.8 + -0.5333x; interpolation 
6930 <= x 6960; y_232 = -4093.0 + 0.6x; interpolation 
6960 <= x 6990; y_233 = 83.0 + 0.0x; interpolation 
6990 <= x 7020; y_234 = 4044.2 + -0.5667x; interpolation 
7020 <= x 7050; y_235 = -3444.0 + 0.5x; interpolation 
7050 <= x 7080; y_236 = -858.8 + 0.1333x; interpolation 
7080 <= x 7110; y_237 = 85.0 + 0.0x; interpolation 
7110 <= x 7140; y_238 = 1270.2 + -0.1667x; interpolation 
7140 <= x 7170; y_239 = -634.0 + 0.1x; interpolation 
7170 <= x 7200; y_240 = -872.8 + 0.1333x; interpolation 
7200 <= x 7230; y_241 = 1287.2 + -0.1667x; interpolation 
7230 <= x 7260; y_242 = 4420.0 + -0.6x; interpolation 
7260 <= x 7290; y_243 = -420.2 + 0.0667x; interpolation 
7290 <= x 7320; y_244 = -3092.8 + 0.4333x; interpolation 
7320 <= x 7350; y_245 = -896.8 + 0.1333x; interpolation 
7350 <= x 7380; y_246 = 4248.2 + -0.5667x; interpolation 
7380 <= x 7410; y_247 = -4116.2 + 0.5667x; interpolation 
7410 <= x 7440; y_248 = 4034.8 + -0.5333x; interpolation 
7440 <= x 7470; y_249 = -4397.0 + 0.6x; interpolation 
7470 <= x 7500; y_250 = 5065.2 + -0.6667x; interpolation 
7500 <= x 7530; y_251 = 565.2 + -0.0667x; interpolation 
7530 <= x 7560; y_252 = -439.3 + 0.0667x; interpolation 
7560 <= x 7590; y_253 = -3715.0 + 0.5x; interpolation 
7590 <= x 7620; y_254 = -931.7 + 0.1333x; interpolation 
7620 <= x 7650; y_255 = 592.3 + -0.0667x; interpolation 
7650 <= x 7680; y_256 = 4161.7 + -0.5333x; interpolation 
7680 <= x 7710; y_257 = 66.0 + 0.0x; interpolation 
7710 <= x 7740; y_258 = -4303.3 + 0.5667x; interpolation 
7740 <= x 7770; y_259 = -174.7 + 0.0333x; interpolation 
7770 <= x 7800; y_260 = 4746.0 + -0.6x; interpolation 
7800 <= x 7830; y_261 = 325.7 + -0.0333x; interpolation 
7830 <= x 7860; y_262 = -4372.3 + 0.5667x; interpolation 
7860 <= x 7890; y_263 = -179.7 + 0.0333x; interpolation 
7890 <= x 7920; y_264 = 83.0 + 0.0x; interpolation 
7920 <= x 7950; y_265 = 611.3 + -0.0667x; interpolation 
7950 <= x 7980; y_266 = -183.7 + 0.0333x; interpolation 
7980 <= x 8010; y_267 = -450.29999999999995 + 0.0667x; interpolation 
8010 <= x 8040; y_268 = 4890.0 + -0.6x; interpolation 
8040 <= x 8070; y_269 = 1137.7 + -0.1333x; interpolation 
8070 <= x 8100; y_270 = -5855.7 + 0.7333x; interpolation 
8100 <= x 8130; y_271 = 84.0 + 0.0x; interpolation 
8130 <= x 8160; y_272 = 5232.7 + -0.6333x; interpolation 
8160 <= x 8190; y_273 = -751.0 + 0.1x; interpolation 
8190 <= x 8220; y_274 = -4846.0 + 0.6x; interpolation 
8220 <= x 8250; y_275 = 2278.3 + -0.2667x; interpolation 
8250 <= x 8280; y_276 = 3378.0 + -0.4x; interpolation 
8280 <= x 8310; y_277 = 66.0 + 0.0x; interpolation 
8310 <= x 8340; y_278 = -5196.7 + 0.6333x; interpolation 
8340 <= x 8370; y_279 = 641.3 + -0.0667x; interpolation 
8370 <= x 8400; y_280 = 4826.3 + -0.5667x; interpolation 
8400 <= x 8430; y_281 = -494.29999999999995 + 0.0667x; interpolation 
8430 <= x 8460; y_282 = -5270.7 + 0.6333x; interpolation 
8460 <= x 8490; y_283 = 933.0 + -0.1x; interpolation 
8490 <= x 8520; y_284 = 5178.0 + -0.6x; interpolation 
8520 <= x 8550; y_285 = -786.0 + 0.1x; interpolation 
8550 <= x 8580; y_286 = -2780.7 + 0.3333x; interpolation 
8580 <= x 8610; y_287 = -1064.7 + 0.1333x; interpolation 
8610 <= x 8640; y_288 = 4962.3 + -0.5667x; interpolation 
8640 <= x 8670; y_289 = -510.29999999999995 + 0.0667x; interpolation 
